entity,code,year,number_of_countries_with_primary_data_on_prevalence_of_mental_disorders
Alcohol use disorders,,2019,58
Amphetamine use disorders,,2019,58
Anorexia nervosa,,2019,27
Anxiety disorders,,2019,58
Attention-deficit hyperactivity disorder,,2019,172
Autism spectrum disorders,,2019,34
Bipolar disorder,,2019,41
Bulimia nervosa,,2019,31
Cannabis use disorders,,2019,121
Cocaine use disorders,,2019,68
Dysthymia,,2019,37
Major depressive disorder,,2019,111
Opioid use disorders,,2019,31
Other drug use disorders,,2019,2
Personality disorders,,2019,2
